PM 2.5,PM 10,CO,CO2
17.3,21.9,19772.73633,0.87758
15.6,20.8,16266.06543,0.8526
20.2,26.8,17142.32227,0.78733
21.1,28.6,17142.32227,0.77484
21.3,30.2,17142.32227,0.77685
20.5,27.9,17142.32227,0.77443
22.1,30.5,17142.32227,0.77161
22.1,30.3,17142.32227,0.76516
22.4,29.6,17142.32227,0.76799
22.3,29.3,17142.32227,0.76758
22.5,29.5,17142.32227,0.76678
24.0,34.1,17142.32227,0.76194
23.1,31.1,17142.32227,0.76194
23.6,32.0,17142.32227,0.76033
25.0,33.6,17142.32227,0.75791
25.2,34.2,17142.32227,0.75308
26.9,36.2,17142.32227,0.75066
27.7,40.7,17142.32227,0.74582
30.9,47.0,17142.32227,0.7422
26.4,35.1,1.32246,402.82861
26.2,33.3,1.28997,402.73026
24.5,32.5,1.31978,402.81689
24.1,31.9,1.32873,402.75455
25.1,32.0,1.30203,402.64542
24.7,32.8,1.2991,402.4985
24.5,31.4,1.36808,402.36978
23.8,30.9,1.28448,402.1171
24.9,31.6,1.30793,402.22324
24.5,32.3,1.21897,402.02173
24.2,29.9,1.32276,402.11063
102.0,114.1,1.31384,402.00931
103.2,114.2,1.29031,401.96335
25.9,34.9,1.14027,401.76373
25.0,32.5,1.12975,401.48962
24.6,33.2,1.17773,401.56985
25.6,34.6,1.14027,401.40396
25.8,31.9,1.14556,401.44507
24.6,33.8,1.135,401.48251
24.9,32.3,1.135,401.41754
24.6,31.2,1.14291,401.39722
23.3,30.8,1.15087,401.35291
23.4,32.1,1.17232,401.29086
23.5,30.5,1.04098,401.16837
23.3,31.6,0.84863,401.0918
23.5,33.8,1.08336,401.27213
22.8,29.6,1.10636,401.24344
30.9,39.7,1.12452,401.2536
23.4,32.1,1.22736,401.22931
24.5,34.3,1.29323,401.17221
25.3,32.0,1.27289,401.20737
24.5,33.6,1.36196,401.21729
26.0,36.0,1.4273,401.23737
25.8,34.0,1.41781,401.25565
25.7,35.0,1.31088,401.18967
25.2,33.3,1.33773,401.15878
25.2,32.8,1.2991,401.08276
24.9,31.1,1.24711,401.02988
25.4,32.1,1.19409,400.99924
24.3,34.1,1.24995,401.05075
24.2,32.0,1.28739,401.08636
25.5,34.9,1.23861,401.05075
24.8,34.1,1.19135,401.04727
24.7,31.0,1.26712,401.03506
24.5,31.8,1.23016,401.04376
25.0,35.1,1.26138,400.96609
24.9,32.2,1.2528,400.9892
25.2,31.7,1.23016,400.96286
25.1,33.1,1.23298,400.96609
25.2,33.2,1.27289,400.95312
24.9,32.5,1.29031,400.97595
24.3,31.9,1.31681,400.9809
24.6,32.7,1.32873,400.93869
25.3,32.9,1.33172,400.91818
24.3,32.2,1.30793,400.90573
24.6,33.5,1.27867,400.87378
26.4,33.7,1.29616,400.87677
26.3,35.0,1.32276,400.88736
26.6,34.0,1.27,400.9213
28.0,37.2,1.29323,400.87979
26.9,35.1,1.30498,400.87228
25.3,31.4,1.25566,400.88281
26.7,33.8,1.20786,400.8486
28.0,37.5,1.22736,400.87378
26.9,35.6,1.19958,400.81979
27.3,35.3,1.24144,400.8269
27.6,34.6,1.24711,400.84714
27.0,35.0,1.19683,400.83121
28.0,36.0,1.22176,400.81696
27.6,35.7,1.27289,400.78766
27.2,36.8,1.31516,402.83102
26.2,33.0,1.31217,402.81625
26.8,36.9,1.33926,402.80154
26.2,33.9,1.35609,402.70502
25.7,32.3,1.33783,402.85104
26.4,34.9,1.31677,402.84113
27.2,37.6,1.26965,402.83121
26.3,35.8,1.27887,402.81131
27.3,33.5,1.31134,402.84106
25.7,34.4,1.36899,402.78671
26.1,32.7,1.29621,402.84515
26.0,32.4,1.34724,402.8252
25.5,30.8,1.32603,402.79056
27.1,36.2,1.32905,402.77582
26.0,34.0,1.29947,402.70636
26.2,35.4,1.29358,402.91049
25.5,34.3,1.32326,402.76974
26.5,32.8,1.25293,402.82935
26.0,34.0,1.30941,402.82516
26.3,34.1,1.30051,402.8002
26.2,33.1,1.33945,402.86548
25.3,34.1,1.47634,402.56805
26.3,32.1,3.96702,403.0806
25.7,32.8,2.92957,403.22253
25.5,32.1,2.79299,403.16275
25.3,32.2,2.50753,403.4711
25.7,31.8,2.74465,403.42017
25.5,33.2,2.70291,403.65436
25.4,30.7,2.79299,403.95139
24.1,29.2,2.87305,403.77634
24.7,31.3,2.53551,403.89465
24.5,32.5,2.45232,403.54214
25.7,31.2,2.35017,403.53564
24.8,31.7,2.51869,403.35736
24.3,31.7,2.0501,403.09805
24.9,31.2,2.08341,403.09222
25.4,33.9,2.00327,403.15683
24.3,31.5,1.97101,403.19254
23.7,31.3,1.98018,403.14499
24.6,32.5,2.03596,403.069
24.2,30.4,1.89884,403.0748
24.7,30.4,1.89884,403.069
24.9,32.0,1.90774,403.03445
24.7,33.4,1.98939,403.0864
24.7,32.4,1.92565,403.25885
23.3,27.7,1.91221,403.2467
24.1,29.8,1.91668,403.38864
23.8,31.1,2.01723,403.43283
24.4,31.5,1.92116,403.4519
23.8,31.6,1.94369,403.47751
23.2,30.1,1.96643,403.54214
23.1,29.5,2.0219,403.50323
23.6,29.5,1.95731,403.57486
23.2,30.7,2.21603,403.5683
23.1,30.3,1.97101,403.58801
23.2,31.2,2.00791,403.50323
23.1,28.0,1.98939,403.52264
24.0,30.2,1.95276,403.51617
24.5,31.7,1.93465,403.45831
23.5,29.8,1.81594,403.26495
23.3,28.8,1.85483,403.4968
24.1,31.8,2.00327,403.57486
23.1,29.6,2.0219,403.69464
22.1,28.2,2.02658,403.69464
23.0,28.9,1.98478,403.70139
